wanikani	word	reading	sense 1	sense 2	sense 3	url
5	毛虫	けむし	hairy caterpillar, woolly bear	pest, nudnik (nudnick)		http://jisho.org/word/%E6%AF%9B%E8%99%AB
5	今まで	いままで	until now, so far, up to the present			http://jisho.org/word/%E4%BB%8A%E3%81%BE%E3%81%A7
5	一回	いっかい	once, one time, one round, one game, one bout, one heat, one inning			http://jisho.org/word/%E4%B8%80%E5%9B%9E
5	里心	さとごころ	homesickness, nostalgia			http://jisho.org/word/%E9%87%8C%E5%BF%83
5	公社	こうしゃ	public corporation			http://jisho.org/word/%E5%85%AC%E7%A4%BE
5	大作	たいさく	large-scale work, voluminous work	monumental work, great work, masterpiece		http://jisho.org/word/%E5%A4%A7%E4%BD%9C
5	空車	くうしゃ	empty conveyance, empty taxi, free taxi	having spaces available (of a parking lot)		http://jisho.org/word/%E7%A9%BA%E8%BB%8A
5	形	けい	form, tense	adjective, i-adjective (in Japanese)		http://jisho.org/word/%E5%BD%A2
5	里	さと	village, hamlet	countryside, country	home (of one's parents, etc.), hometown	http://jisho.org/word/%E9%87%8C
5	何月	なんがつ	what month			http://jisho.org/word/%E4%BD%95%E6%9C%88
5	金玉	きんたま	testicles, balls, nuts			http://jisho.org/word/%E9%87%91%E7%8E%89
6	羊	ひつじ	sheep (Ovis aries)	Sheep		http://jisho.org/word/%E7%BE%8A
6	九州	きゅうしゅう	Kyūshū (southernmost of the four main islands of Japan)	Kyushu		http://jisho.org/word/%E4%B9%9D%E5%B7%9E
6	中東	ちゅうとう	Middle East	Middle East		http://jisho.org/word/%E4%B8%AD%E6%9D%B1
6	国宝	こくほう	national treasure	National Treasures of Japan		http://jisho.org/word/%E5%9B%BD%E5%AE%9D
6	仕方がない	しかたがない	there's no (other) way	cannot be helped, unavoidable, inevitable, (there's) nothing one can do, having no choice	it's no use (doing), pointless, useless, no good, insufficient, not enough	http://jisho.org/word/%E4%BB%95%E6%96%B9%E3%81%8C%E3%81%AA%E3%81%84
6	大文字	おおもじ	uppercase letter, capital letter	large character, large writing	the (kanji) character "dai" meaning "big"	http://jisho.org/word/%E5%A4%A7%E6%96%87%E5%AD%97
6	冬休み	ふゆやすみ	winter vacation, winter holidays	Winter vacation		http://jisho.org/word/%E5%86%AC%E4%BC%91%E3%81%BF
6	四国	しこく	Shikoku (smallest of the four main islands of Japan)	Shikoku		http://jisho.org/word/%E5%9B%9B%E5%9B%BD
